neighborhood,education_rank,health_rank,crime_rank
Carrick,1,159,95
Brookline,2,141,
Beechview,3,167,86
Sheraden,4,195,87
Squirrel Hill South,5,11,72
Knoxville,6,155,84
Brighton Heights,7,108,81
Homewood North,8,95,92
East Hills,9,162,85
Hazelwood,10,113,83
Crafton Heights,11,176,66
Northview Heights,12,66,76
Garfield,13,61,67
Lincoln-Lemington-Belmar,14,14,88
East Liberty,15,54,94
Greenfield,16,57,57
Mt. Oliver Borough,17,145,
Homewood South,18,86,90
Marshall-Shadeland,19,146,93
Perry South,20,58,79
Highland Park,21,13,49
Mount Washington,22,139,89
Terrace Village,23,60,45
Perry North,24,117,64
Stanton Heights,25,71,31
Squirrel Hill North,26,1,32
Point Breeze,27,12,44
Wilkinsburg Borough,28,63,
Allentown,29,125,77
Westwood,30,208,35
Overbrook,31,156,47
Bloomfield,32,33,78
Larimer,33,45,70
Beltzhoover,34,200,55
Spring Hill-City View,35,27,71
Lincoln Place,36,179,38
Elliott,37,191,65
Middle Hill,38.5,165,75
Crawford-Roberts,38.5,102,68
Bedford Dwellings,40,209,73
Shadyside,41,7,80
Arlington,42,134,46
Morningside,43,77,27
South Side Slopes,44,127,69
Banksville,45,101,36
Manchester,46,171,54
Central Northside,47,67,60
Upper Hill,48,48,51
Troy Hill,49,73,48
Central Lawrenceville,50,19,53
Point Breeze North,51,29,34
Homewood West,52,62,62
California-Kirkbride,53,94,41
Upper Lawrenceville,54,40,26
Windgap,55,103,19
South Side Flats,56,9,96
Fineview,57,106,56
Fairywood,58,15,22
Lower Lawrenceville,59,49,43
Allegheny Center,60,161,63
Duquesne Heights,61,126,30
South Oakland,62,35,40
East Allegheny,63.5,105,82
Mount Oliver,63.5,,18
Glen Hazel,65,3,29
Spring Garden,66,158,23
Oakwood,67,170,14
New Homestead,68,201,8
Bon Air,69,215,39
Friendship,70.5,20,28
West Oakland,70.5,4,42
Summer Hill,72,181,15
Bluff,73.5,16,74
Hays,73.5,194,21
Swisshelm Park,75,36,9
Polish Hill,76,38,24
Regent Square,77,17,6
Arlington Heights,78,32,25
West End,79,197,33
Chartiers City,80,207,12
Saint Clair,81,80,10
East Carnegie,82,204,11
