_id,neighborhood_municipality,individuals_tested,infections,reinfections,deaths,hospitalizations,tests,postives,ag_tests,positive_ag_tests,pcr_tests,positive_pcr_tests,update_date
92401,Aleppo,1103,1941,152,19,28,4723,336,2358,99,2364,235,2023-05-15
92402,Allegheny Center (Pittsburgh),1010,1414,174,5,15,2994,379,388,46,2607,333,2023-05-15
92403,Allegheny West (Pittsburgh),350,460,70,0,5,1219,109,243,17,976,92,2023-05-15
92404,Allentown (Pittsburgh),1470,3017,509,2,37,5488,641,1295,85,4189,555,2023-05-15
92405,Arlington (Pittsburgh),1073,2227,347,9,34,4492,535,1046,108,3443,426,2023-05-15
92406,Arlington Heights (Pittsburgh),150,175,14,3,4,565,44,94,12,471,32,2023-05-15
92407,Aspinwall,2091,2519,251,1,13,6982,618,1635,151,5338,466,2023-05-15
92408,Avalon,2972,5610,631,13,76,11337,1180,2526,249,8816,930,2023-05-15
92409,Baldwin Borough,14463,29922,3709,65,369,54322,6760,14696,1693,39451,5052,2023-05-15
92410,Baldwin Township,1353,2270,151,1,15,4377,624,1147,194,3231,427,2023-05-15
92411,Banksville (Pittsburgh),3032,5311,678,20,41,11156,1224,4034,349,7127,873,2023-05-15
92412,Bedford Dwellings (Pittsburgh),771,1291,233,5,40,2449,353,410,33,2039,320,2023-05-15
92413,Beechview (Pittsburgh),4997,8264,853,19,94,16810,2152,3672,484,13139,1664,2023-05-15
92414,Bell Acres,976,1064,113,6,12,2660,320,645,63,2012,256,2023-05-15
92415,Bellevue,5181,8618,1065,11,72,17569,2018,4213,425,13316,1591,2023-05-15
92416,Beltzhoover (Pittsburgh),1001,1820,292,5,48,3230,452,549,48,2679,403,2023-05-15
92417,Ben Avon,1355,1523,102,4,9,3867,437,921,96,2936,340,2023-05-15
92418,Ben Avon Heights,299,356,20,0,0,928,91,213,15,712,76,2023-05-15
92419,Bethel Park,22869,39795,4577,93,315,80846,9141,21865,2520,58865,6571,2023-05-15
92420,Blawnox,854,1300,154,4,18,2841,289,629,79,2205,208,2023-05-15
92421,Bloomfield (Pittsburgh),6586,10243,1041,11,70,25731,2022,3710,347,22020,1672,2023-05-15
92422,Bluff (Pittsburgh),12858,18493,1601,4,64,49750,2944,33270,1236,16471,1702,2023-05-15
92423,Bon Air (Pittsburgh),496,628,43,2,13,1515,228,307,50,1209,178,2023-05-15
92424,Brackenridge,2463,5474,742,24,87,10240,1011,2049,212,8192,798,2023-05-15
92425,Braddock,1380,2530,433,1,48,5217,609,1167,71,4054,538,2023-05-15
92426,Braddock Hills,1042,1750,279,5,30,3786,450,680,75,3111,374,2023-05-15
92427,Bradford Woods,824,822,37,0,6,2173,279,453,56,1706,223,2023-05-15
92428,Brentwood,6670,12059,1257,21,97,22945,2927,6022,708,16920,2214,2023-05-15
92429,Bridgeville,3454,6719,658,16,56,12252,1631,3799,459,8426,1158,2023-05-15
92430,Brighton Heights (Pittsburgh),5089,8704,1136,15,109,17990,2034,3542,337,14436,1694,2023-05-15
92431,Brookline (Pittsburgh),8762,14406,1432,19,138,29504,3598,7713,915,21763,2674,2023-05-15
92432,California-Kirkbride (Pittsburgh),456,842,83,2,7,1741,188,291,20,1450,168,2023-05-15
92433,Carnegie,5476,9258,1277,11,74,18410,2274,5322,596,13083,1673,2023-05-15
92434,Carrick (Pittsburgh),6281,10719,1407,28,144,21341,2681,5109,596,16211,2081,2023-05-15
92435,Castle Shannon,5400,9245,1100,11,56,19001,2280,5087,635,13904,1638,2023-05-15
92436,Central Business District (Pittsburgh),5607,6195,388,0,37,18197,1277,3547,246,14643,1025,2023-05-15
92437,Central Lawrenceville (Pittsburgh),3679,7970,1081,20,58,16628,1079,2767,183,13822,877,2023-05-15
92438,Central Northside (Pittsburgh),2317,3422,327,5,42,8271,814,1361,117,6909,696,2023-05-15
92439,Central Oakland (Pittsburgh),3348,5510,261,1,7,15109,1065,1703,152,13413,910,2023-05-15
92440,Chalfant,525,710,38,1,9,1679,180,397,41,1284,139,2023-05-15
92441,Chartiers City (Pittsburgh),323,508,84,1,9,1083,155,217,26,864,129,2023-05-15
92442,Chateau (Pittsburgh),253,223,60,0,1,468,43,111,4,357,39,2023-05-15
