neighborhood_municipality,health_rank
Squirrel Hill North (Pittsburgh),1.0
Undefined,2.0
Glen Hazel (Pittsburgh),3.0
West Oakland (Pittsburgh),4.0
North Shore (Pittsburgh),5.0
North Oakland (Pittsburgh),6.0
Shadyside (Pittsburgh),7.0
Oakmont,8.0
Southside Flats (Pittsburgh),9.0
Haysville,10.0
Squirrel Hill South (Pittsburgh),11.0
Point Breeze (Pittsburgh),12.0
Highland Park (Pittsburgh),13.0
Lincoln-Lemington-Belmar (Pittsburgh),14.0
Fairywood (Pittsburgh),15.0
Bluff (Pittsburgh),16.0
Regent Square (Pittsburgh),17.0
Scott,18.0
Central Lawrenceville (Pittsburgh),19.0
Friendship (Pittsburgh),20.0
Harmar,21.0
Central Business District (Pittsburgh),22.0
Central Oakland (Pittsburgh),23.0
Aleppo,24.0
Edgeworth,25.0
Edgewood,26.0
Spring Hill-City View (Pittsburgh),27.0
Sewickley Heights,28.0
Point Breeze North (Pittsburgh),29.0
Glen Osborne,30.0
Strip District (Pittsburgh),31.0
Arlington Heights (Pittsburgh),32.0
Bloomfield (Pittsburgh),33.0
Fox Chapel,34.0
South Oakland (Pittsburgh),35.0
Swisshelm Park (Pittsburgh),36.0
Indiana,37.0
Polish Hill (Pittsburgh),38.0
Mcdonald,39.0
Upper Lawrenceville (Pittsburgh),40.0
Mount Lebanon,41.0
Ross,42.0
Esplen (Pittsburgh),43.0
Kennedy,44.0
Larimer (Pittsburgh),45.0
Aspinwall,46.0
Allegheny West (Pittsburgh),47.0
Upper Hill (Pittsburgh),48.0
Lower Lawrenceville (Pittsburgh),49.0
South Shore (Pittsburgh),50.0
Ohio,51.0
O'Hara,52.0
Chateau (Pittsburgh),53.0
East Liberty (Pittsburgh),54.0
Sewickley,55.0
McCandless,56.0
Greenfield (Pittsburgh),57.0
Perry South (Pittsburgh),58.0
Undefined (Pittsburgh),59.0
Terrace Village (Pittsburgh),60.0
Garfield (Pittsburgh),61.0
Homewood West (Pittsburgh),62.0
Wilkinsburg,63.0
Ben Avon Heights,64.0
McKeesport,65.0
Northview Heights (Pittsburgh),66.0
Central Northside (Pittsburgh),67.0
Leetsdale,68.0
Brackenridge,69.0
Churchill,70.0
Stanton Heights (Pittsburgh),71.0
Neville,72.0
Troy Hill (Pittsburgh),73.0
East Deer,74.0
Monroeville,75.0
Upper Saint Clair,76.0
Morningside (Pittsburgh),77.0
